Status,Date,Description,Debit,Credit
Cleared,8/13/2025,Spectrum 855-707-7328 MO null XXXXXXXXXXXX5338,106.25,
Cleared,8/13/2025,STARBUCKS 800-782-7282 800-782-7282 WA null XXXXXXXXXXXX5782,5.45,
Cleared,8/12/2025,"ALIPAY US, INC. 8657195188 DE null XXXXXXXXXXXX4941",18.62,
Cleared,8/12/2025,NEW HAVEN ANIMAL HOSPI ONTARIO CA,60,
Cleared,8/11/2025,THE TOLL ROADS OF OC 949-727-4800 CA,16.18,
Cleared,8/10/2025,UFURIA RANCHO CUCAMO CA null XXXXXXXXXXXX0732,38.95,
Cleared,8/10/2025,LOWES #02330* Jurupa Valley CA null XXXXXXXXXXXX5782,25.47,
Cleared,8/10/2025,STATERBROS 204 ONTARIO CA null XXXXXXXXXXXX5782,7.6,
Cleared,8/9/2025,"SQ *INDUSTRY RACING, L HUNTINGTON BE CA null XXXXXXXXXXXX5782",40,
Cleared,8/8/2025,CARTER'S #541 EASTVALE CA null XXXXXXXXXXXX5782,9.7,
Cleared,8/7/2025,THE HOME DEPOT #1084 MIRA LOMA CA null XXXXXXXXXXXX3233,30.37,
Cleared,8/7/2025,ETSY.COM - 2CUTE3D BROOKLYN NY,16.88,
Cleared,8/7/2025,VISIBLE 8663313527 CO null XXXXXXXXXXXX6872,35,
Cleared,8/7/2025,Spectrum Mobile 855-707-7328 MO null XXXXXXXXXXXX5338,20,
Cleared,8/6/2025,UPTOWN GIFT SHOP UPLAND CA null XXXXXXXXXXXX5782,70.04,
Cleared,8/5/2025,HAT CLUB - 1014 RANCHO CUCAMO CA null XXXXXXXXXXXX5782,116.37,
Cleared,8/5/2025,LEVI STORE 651 RANCHO CUCAMO CA null XXXXXXXXXXXX5782,74.89,
Cleared,8/5/2025,GOOGLE *Google One 650-253-0000 CA,2.99,
Cleared,8/4/2025,GOOGLE *Google One 650-253-0000 CA,2.99,
Cleared,8/4/2025,NEW HAVEN ANIMAL HOSPI ONTARIO CA,587.28,
Cleared,8/4/2025,Spectrum Mobile 855-707-7328 MO null XXXXXXXXXXXX3738,50,
Cleared,8/3/2025,SLC Visit Salt Lake Salt Lake Cit UT null XXXXXXXXXXXX3233,16.25,
Cleared,8/3/2025,LiveBarn Clarks green PA null XXXXXXXXXXXX7567,23.95,
Cleared,8/2/2025,TJMAXX #0478 SOUTHGATE MI null XXXXXXXXXXXX5782,41.76,
Cleared,8/1/2025,AUTOPAY 200226010559795RAUTOPAY AUTO-PMT,,-3206.31
Cleared,8/1/2025,CLR*9ROUND 951-536431 EASTVALE CA,69,
Cleared,7/31/2025,AA WIFI 1-888-649-6711 Fort Worth TX,20,
Cleared,7/31/2025,AA WIFI 1-888-649-6711 Fort Worth TX,20,
Cleared,7/31/2025,THE TOLL ROADS OF OC 949-727-4800 CA,7.35,
Cleared,7/31/2025,CITY OF ONTARIO 9093952050 CA,137.09,
Cleared,7/30/2025,THE TOLL ROADS OF OC 949-727-4800 CA,13.96,
Cleared,7/30/2025,AMERICAN0010274438140 PHOENIX AZ,40,
Cleared,7/29/2025,DD *DOORDASH CHICK-FIL SAN FRANCISCO CA null XXXXXXXXXXXX7479,22.36,
Cleared,7/29/2025,THE RINKS - IRVINE INL IRVINE CA,276,
Cleared,7/28/2025,Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX9582,352.93,
Cleared,7/28/2025,PAYPAL *SHAMENW2YG4 4029357733 HKG null XXXXXXXXXXXX8688,895,
Cleared,7/28/2025,THE TOLL ROADS OF OC 949-727-4800 CA,7.35,
Cleared,7/27/2025,OURARING INC. 8333630010 CA null XXXXXXXXXXXX3161,5.99,
Cleared,7/27/2025,UFURIA RANCHO CUCAMO CA null XXXXXXXXXXXX0732,92.85,
Cleared,7/26/2025,American Eagle 2424 Irvine CA null XXXXXXXXXXXX5782,26.93,
Cleared,7/25/2025,VANS #145 IRVINE CA null XXXXXXXXXXXX5782,64.65,
Cleared,7/25/2025,AUTHORITY PEST MGMT. MURRIETA CA null XXXXXXXXXXXX4894,89,
Cleared,7/25/2025,URBAN OUTFITTERS 00051 IRVINE CA null XXXXXXXXXXXX5782,105.6,
Cleared,7/25/2025,PP*SPOTIFY*P38ED58D30 4029357733 NY null XXXXXXXXXXXX8688,19.99,
Cleared,7/25/2025,JOURNEYS #081446 IRVINE CA null XXXXXXXXXXXX5782,107.74,
Cleared,7/24/2025,404BRAND 9513481409 CA null XXXXXXXXXXXX2642,76.21,
Cleared,7/22/2025,VINTAGE VAULT OF UPLAN UPLAND CA null XXXXXXXXXXXX5782,21.55,
Cleared,7/22/2025,VINTAGE VAULT OF UPLAN UPLAND CA null XXXXXXXXXXXX5782,49.92,
Cleared,7/22/2025,SP WAVEMOTORSPORTS KEMPTON PA null XXXXXXXXXXXX3809,87.9,
Cleared,7/22/2025,UPTOWN GIFT SHOP UPLAND CA null XXXXXXXXXXXX3233,96.95,
Cleared,7/22/2025,THE TOLL ROADS OF OC 949-727-4800 CA,13.96,
